position;company;comp_link;sal_from;sal_to;sal_curr;sal_tax
Разработчик на Python;ЛУКОЙЛ;https://hh.ru/employer/907345?hhtmFrom=vacancy_search_list;;;;
Программист-разработчик Python;ООО Гео Техно Сот;https://hh.ru/employer/4304968?hhtmFrom=vacancy_search_list;;;;
Руководитель разработки Python;Группа компаний Астра;https://hh.ru/employer/5060211?hhtmFrom=vacancy_search_list;;;;
Middle+ разработчик Python;Сфера;https://hh.ru/employer/12504?hhtmFrom=vacancy_search_list;250000;0;₽;на руки
Python Developer;TeamIdea (ООО ТИМИДЕЯ ГРУПП);https://hh.ru/employer/567928?hhtmFrom=vacancy_search_list;;;;
Python-разработчик;АО РАСЧЕТНЫЕ РЕШЕНИЯ;https://hh.ru/employer/699283?hhtmFrom=vacancy_search_list;;;;
Software Engineer Python;The Skolkovo Institute of Science and Technology;https://hh.ru/employer/976931?hhtmFrom=vacancy_search_list;;;;
Python разработчик middle+ Senior;Staffwell;https://hh.ru/employer/710?hhtmFrom=vacancy_search_list;250000;410000;₽;до вычета налогов
Automation QA Engineer (Python);Staffwell;https://hh.ru/employer/710?hhtmFrom=vacancy_search_list;;;;
Middle Python разработчик в команду AI;DSSL;https://hh.ru/employer/2888?hhtmFrom=vacancy_search_list;;;;
Python-разработчик;Сбер для экспертов;https://hh.ru/employer/3529?dpt=3529-3529-prof&hhtmFrom=vacancy_search_list;;;;
Аналитик Python;Кадровый Центр Департамента здравоохранения города Москвы;https://hh.ru/employer/2263448?hhtmFrom=vacancy_search_list;;;;
Backed Engineer (Python);AURAi;https://hh.ru/employer/5480980?hhtmFrom=vacancy_search_list;180000;230000;₽;на руки
Senior Python Developer (Django, ecom);GRI;https://hh.ru/employer/5674419?hhtmFrom=vacancy_search_list;;;;
Инженер по автоматизации тестирования (Python);Ozon Информационные технологии;https://hh.ru/employer/2180?dpt=ozonru-2180-dev&hhtmFrom=vacancy_search_list;;;;
Backend Developer (Python/FAST API);MoneyCat;https://hh.ru/employer/10044600?hhtmFrom=vacancy_search_list;;;;
Python-программист в VK Play Store;VK;https://hh.ru/employer/15478?dpt=mailru-15478-other&hhtmFrom=vacancy_search_list;;;;
